begin ; end ; doc_id ; buch ; quote ; coref ; overlap ;ek ;ek2 ; ds ; space; segnr ; em ; klasse ; xrange;;
22058;22073;64;1;Îwein;Îwein;null;0;0;0;R_HOFART;27;null;"[""PER""]";"[{""endOffset"":22073,""startOffset"":22058,""start"":0,""end"":0}]";"[{""endOffset"":26,""startOffset"":21,""start"":""\/div[823]"",""end"":""\/div[823]""}]";220602073
22116;22132;64;1;Kâlogrenant;Kâlogrenant;null;0;0;1;R_HOFART;27;null;"[""PER""]";"[{""endOffset"":22132,""startOffset"":22116,""start"":0,""end"":0}]";"[{""endOffset"":27,""startOffset"":16,""start"":""\/div[825]"",""end"":""\/div[825]""}]";221182132
22272;22276;64;1;Keiî;Keiî;null;0;0;0;R_HOFART;27;null;"[""PER""]";"[{""endOffset"":19,""startOffset"":15,""start"":22257,""end"":22257}]";"[{""endOffset"":19,""startOffset"":15,""start"":""\/div[830]"",""end"":""\/div[830]""}]";222742276
22423;22428;64;1;Krist;null;-1;0;0;1;R_HOFART;28;null;"[""PER""]";"[{""endOffset"":29,""startOffset"":24,""start"":22399,""end"":22399}]";"[{""endOffset"":29,""startOffset"":24,""start"":""\/div[835]"",""end"":""\/div[835]""}]";224252428
22671;22682;64;1;Îwein;Îwein;null;0;0;1;R_HOFART;28;null;"[""PER""]";"[{""endOffset"":22682,""startOffset"":22671,""start"":0,""end"":0}]";"[{""endOffset"":11,""startOffset"":6,""start"":""\/div[845]"",""end"":""\/div[845]""}]";226732682
22985;22993;64;1;Keiî;Keiî;null;0;0;1;R_HOFART;28;null;"[""PER""]";"[{""endOffset"":22993,""startOffset"":22985,""start"":0,""end"":0}]";"[{""endOffset"":10,""startOffset"":6,""start"":""\/div[857]"",""end"":""\/div[857]""}]";229872993
23003;23014;64;1;diu künegîn;Ginover;null;0;0;0;R_HOFART;28;null;"[""PER""]";"[{""endOffset"":31,""startOffset"":20,""start"":22983,""end"":22983}]";"[{""endOffset"":31,""startOffset"":20,""start"":""\/div[857]"",""end"":""\/div[857]""}]";230053014
23382;23391;64;1;den vater;# unbestimmt (einzel) ;null;0;0;1;R_HOFART;29;null;"[""PER""]";"[{""endOffset"":16,""startOffset"":7,""start"":23375,""end"":23375}]";"[{""endOffset"":16,""startOffset"":7,""start"":""\/div[871]"",""end"":""\/div[871]""}]";233843391
23526;23535;64;1;Îwein;Îwein;null;0;0;0;R_HOFART;29;null;"[""PER""]";"[{""endOffset"":23535,""startOffset"":23526,""start"":0,""end"":0}]";"[{""endOffset"":9,""startOffset"":4,""start"":""\/div[876]"",""end"":""\/div[876]""}]";235283535
23557;23563;64;1;vrouwe;Ginover;null;0;0;1;R_HOFART;29;null;"[""PER""]";"[{""endOffset"":8,""startOffset"":2,""start"":23555,""end"":23555}]";"[{""endOffset"":8,""startOffset"":2,""start"":""\/div[877]"",""end"":""\/div[877]""}]";235593563
23597;23605;64;1;Keiî;Keiî;null;0;0;1;R_HOFART;29;null;"[""PER""]";"[{""endOffset"":23605,""startOffset"":23597,""start"":0,""end"":0}]";"[{""endOffset"":17,""startOffset"":13,""start"":""\/div[878]"",""end"":""\/div[878]""}]";235993605
23827;23835;64;1;her Keiî;Keiî;overlap_max;0;0;1;R_HOFART;29;null;"[""PER""]";"[{""endOffset"":12,""startOffset"":4,""start"":""23823"",""end"":""23823""}]";"[{""endOffset"":12,""startOffset"":4,""start"":""\/div[886]"",""end"":""\/div[886]""}]";238293835
23831;23835;64;1;Keiî;Keiî;overlap;0;0;1;R_HOFART;29;null;"[""PER""]";"[{""endOffset"":12,""startOffset"":8,""start"":23823,""end"":23823}]";"[{""endOffset"":12,""startOffset"":8,""start"":""\/div[886]"",""end"":""\/div[886]""}]";238333835
24277;24286;64;1;der künec;Artûs;null;0;0;0;R_HOFART;30;null;"[""PER""]";"[{""endOffset"":19,""startOffset"":10,""start"":24267,""end"":24267}]";"[{""endOffset"":19,""startOffset"":10,""start"":""\/div[901]"",""end"":""\/div[901]""}]";242794286
